keys,fr,en
"STORY MODE","MODE HISTOIRE","STORY MODE"
"FREE PLAY", "MODE LIBRE", "FREE PLAY"
SETTINGS,"REGLAGES","SETTINGS"
CREDITS,"CREDITS","CREDITS"
"Click to close","Cliquer pour fermer","Click to close"
QUIT,"QUITTER","QUIT"
[u][b]Settings[/b][/u],"[u][b]Réglages[/b][/u]","[u][b]Settings[/b][/u]"
LANGUAGE,"LANGUE","LANGUAGE"
French,"Français","French"
English,"Anglais","English"
AUDIO,"AUDIO","AUDIO"
"Listen Sample","Ecouter Extrait Audio","Listen Sample"
VIDEO,"VIDEO","VIDEO"
CONTROLS,"CONTROLES","CONTROLS"
"SAVE AND CLOSE","ENREGISTRER ET FERMER","SAVE AND CLOSE"
